מפעל,רכיב עלות,סוג תמחיר,מרכז עבודה,תאריך עדכון, עלות לסוג תמחיר 1 , עלות לסוג תמחיר 5 , עלות לסוג תמחיר 6 ,עלות לסוג תמחיר 7,מחלקה,,,
100,B01,5,WCINJ010,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ011,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ012,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ013,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ014,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ015,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ016,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ017,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ018,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ019,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ020,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ021,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ022,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ023,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ024,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ025,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ026,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ027,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ028,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ029,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ030,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ031,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ032,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ033,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ034,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ035,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ036,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ037,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ038,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ039,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ044,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ045,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ066,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ077,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ0U1,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ100,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ106,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ107,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ111,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ120,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ133,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ137,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ142,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ143,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ144,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ145,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ153,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ155,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ157,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ158,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ159,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ160,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ161,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ169,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJ170,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBA,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBB,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBC,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBD,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBE,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBF,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJBH,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJDC,, -   , 7.10 ,,,הזרקה,,,
100,B01,5,WCINJDD,, -   , 7.10 ,,,הזרקה,,,
100,B09,1,WC403,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WC404,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WC405,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WC406,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WC407,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ001,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ002,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ003,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ004,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ005,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ006,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ007,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ008,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ009,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ010,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ011,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ012,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ013,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ014,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ015,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ016,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ017,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ018,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ019,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ020,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ021,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ022,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ023,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ024,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ025,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ026,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ027,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ028,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ029,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ030,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ031,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ032,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ033,, 125.52 , -   ,,,הזרקה,,,
100,B09,1,WCINJ034,, 125.52 , -   ,,,הזרקה,,,
